ticker,claim_text,category,verifiable_metric,stated_value,verification_status,verification_note,source_filing
BP,Reduced scope-1 and scope-2 greenhouse gas emissions by 20% since 2019,environmental,scope12_emissions_reduction,20%,unverifiable,Baseline year changed in 2021 restatement — before/after comparison is not possible without restated prior data,Annual Report 2023
BP,Invested $5bn in low-carbon energy in 2023,environmental,low_carbon_capex,$5bn,contradicted,Total capex was $16.3bn — internal breakdowns show 74% directed to oil and gas extraction and production,Annual Report 2023
BP,Zero routine flaring commitment by 2030,environmental,routine_flaring,0 by 2030,unverifiable,No interim milestones disclosed; current flaring volumes not consistently reported year-on-year,Sustainability Report 2023
BP,50% reduction in methane intensity by 2023 versus 2016 baseline,environmental,methane_intensity_reduction,50%,verified,CDP data and independent third-party verification confirm approximately 47% reduction as of 2023 — within rounding of claim,CDP Disclosure 2023
BP,Net zero across operations and production by 2050 or sooner,environmental,net_zero_target,2050,unverifiable,No enforceable interim milestones; executive remuneration not linked to 2050 target; subject of FCA inquiry,Annual Report 2023
ORSTED,Reduced carbon intensity of energy generation by 87% since 2006,environmental,carbon_intensity_reduction,87%,verified,Annual reports and EY third-party audit confirm 87% reduction — consistent across all reporting periods,Annual Report 2023
ORSTED,87% of heat and power output from renewable energy sources in 2023,environmental,renewable_share,87%,verified,Independently audited; fully consistent with asset portfolio composition (offshore wind / bioenergy),Sustainability Report 2023
ORSTED,Science-based targets validated by SBTi for net zero by 2040,environmental,sbti_net_zero,2040,verified,SBTi approval on public registry — consistent with 1.5°C pathway; strongest validation tier,SBTi Registry 2023
ORSTED,Zero biodiversity net loss from all new energy projects,environmental,biodiversity_net_loss,zero net loss,unverifiable,Methodology for biodiversity net gain accounting is not independently verified; no third-party auditor named,Sustainability Report 2023
SHEL,Achieved net-zero emissions from own operations in 2023,environmental,operational_net_zero,net zero 2023,contradicted,Achieved entirely through purchased offsets — absolute Scope 1+2 emissions remained flat; offset quality contested,Annual Report 2023
SHEL,Reduce carbon intensity of energy products by 30% by 2035 vs 2016,environmental,carbon_intensity_target,30% by 2035,unverifiable,Intensity (not absolute) metric — oil and gas production increases could raise absolute emissions while meeting this target,Energy Transition Strategy 2023
XOM,Working to reduce operated methane intensity across all assets,environmental,methane_intensity_improvement,unspecified,unverifiable,No specific targets or baselines provided — progress is unquantifiable; no third-party verification,Annual Report 2023
XOM,Investing in lower-emission technology research and development,environmental,low_emission_rd,unspecified,unverifiable,R&D spend on low-emission technology not separately disclosed from conventional R&D,Annual Report 2023
TTE,Reduced methane emissions by 50% by 2025 versus 2020 baseline,environmental,methane_reduction,50% by 2025,verified,Third-party monitoring data shows 48% reduction by 2023 — on track; broadly consistent with claim,CDP Disclosure 2023
TTE,Carbon neutrality of worldwide operations by 2050,environmental,operational_carbon_neutral,2050,unverifiable,Relies heavily on carbon offsets; forest carbon projects in portfolio have faced scrutiny from Verra,Annual Report 2023
ULVR,100% renewable electricity across all global manufacturing operations since 2020,environmental,renewable_electricity,100% since 2020,verified,RE100 membership and annual disclosures consistent — third-party verified by Bureau Veritas,RE100 Progress Report 2023
ULVR,Halved absolute carbon footprint across full value chain by 2030 target,environmental,full_chain_emissions_reduction,50% by 2030,unverifiable,Scope 3 represents 99% of footprint; progress on these not independently verified; consumer use phase excluded,Annual Report 2023
NESN,On track to achieve net zero across full value chain by 2050,environmental,net_zero_pathway,2050,contradicted,CDP gives C rating; own disclosures show Scope 3 emissions increased 2021–2023; inconsistent with net zero trajectory,CDP Disclosure 2023
NESN,Achieved 20% absolute GHG emissions reduction target by 2025,environmental,abs_ghg_reduction,20% by 2025,contradicted,Own 2023 disclosures show absolute Scope 1+2 emissions higher than 2018 baseline — target missed and quietly restated,Annual Report 2023
NESN,100% of cocoa sustainably sourced through Rainforest Alliance certification,social,sustainable_sourcing,100%,unverifiable,Rainforest Alliance methodology is contested — does not verify child labour absence; supply chain mapping incomplete,Sustainability Report 2023
NESN,Halved use of virgin plastics per tonne of product since 2018,environmental,virgin_plastic_reduction,50% intensity,contradicted,Absolute virgin plastic use increased from 1.5Mt to 1.7Mt (2018–2023); intensity metric obscures absolute growth,Packaging Report 2023
AMZN,Net-zero carbon across all operations and supply chain by 2040,environmental,net_zero_target,2040,unverifiable,AWS data centre energy growth is outpacing renewable procurement; Scope 3 supply chain emissions not addressed in targets,Climate Pledge 2023
AMZN,50% of shipments delivered with net-zero carbon in 2023,environmental,net_zero_shipments,50%,contradicted,Methodology disputed by Carbon Brief; scope of 'net-zero shipment' not independently verified; relies on in-house offsets,Sustainability Report 2023
